ISO,Country,latitude,longitude,depth,mag,year,month,day,Total affected,Total deaths,Total damage ('000 US$),2017
IDN,Indonesia,-0.466,100.655,55.8,5.1,2004.0,2.0,16.0,507,5,0,0.6940000000000001
IDN,Indonesia,-8.152000000000001,124.868,10.0,7.5,2004.0,11.0,11.0,83381,33,0,0.6940000000000001
IDN,Indonesia,-3.609,135.404,10.0,7.1,2004.0,11.0,26.0,12833,32,55000,0.6940000000000001
IDN,Indonesia,3.295,95.98200000000001,30.0,9.1,2004.0,12.0,26.0,532898,165708,4451600,0.6940000000000001
IDN,Indonesia,-1.198,119.93299999999999,11.0,6.3,2005.0,1.0,23.0,684,1,0,0.6940000000000001
IDN,Indonesia,2.085,97.10799999999999,30.0,8.6,2005.0,3.0,28.0,105313,915,0,0.6940000000000001
IDN,Indonesia,-3.595,127.214,30.1,6.7,2006.0,3.0,14.0,1202,3,0,0.6940000000000001
IDN,Indonesia,-7.961,110.446,12.5,6.3,2006.0,5.0,26.0,3177923,5778,3100000,0.6940000000000001
IDN,Indonesia,-9.283999999999999,107.419,20.0,7.7,2006.0,7.0,17.0,35543,802,55000,0.6940000000000001
IDN,Indonesia,0.626,99.859,30.0,5.8,2006.0,12.0,17.0,1200,8,0,0.6940000000000001
IDN,Indonesia,-8.261000000000001,118.75299999999999,19.0,6.3,2006.0,12.0,1.0,114,1,0,0.6940000000000001
IDN,Indonesia,-0.488,100.53,11.0,6.3,2007.0,3.0,6.0,137660,67,200000,0.6940000000000001
IDN,Indonesia,-7.7829999999999995,114.338,35.0,4.9,2007.0,9.0,9.0,469,0,0,0.6940000000000001
IDN,Indonesia,-8.292,118.37,20.0,6.5,2007.0,11.0,25.0,21800,3,0,0.6940000000000001
IDN,Indonesia,2.7680000000000002,95.964,26.0,7.4,2008.0,2.0,20.0,25,3,0,0.6940000000000001
IDN,Indonesia,-3.935,103.05799999999999,25.2,5.2,2008.0,9.0,9.0,625,2,0,0.6940000000000001
IDN,Indonesia,1.271,122.09100000000001,30.0,7.4,2008.0,11.0,16.0,10077,6,0,0.6940000000000001
IDN,Indonesia,-0.414,132.885,17.0,7.7,2009.0,1.0,3.0,4250,5,10000,0.6940000000000001
IDN,Indonesia,3.886,126.387,20.0,7.2,2009.0,2.0,11.0,3049,0,9000,0.6940000000000001
IDN,Indonesia,-7.782,107.29700000000001,46.0,7.0,2009.0,9.0,2.0,339792,128,160000,0.6940000000000001
